,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
OPHN1,True,1676.0,0.012355137350248036,0.01521691915185056,1.068298141066792,1
OPLAH,False,,0.019401179466192863,0.022659191099487587,0.8739175171553166,0
OPN3,False,,0.08058436205557949,0.09585679564289265,0.8877571703183491,0
OPRD1,False,,0.010757990376569179,0.014768552231879553,0.5889705526925187,0
OPRL1,False,,0.001974830589290937,0.0024206007445494336,0.9798001522946367,0
OPTN,False,,0.3125749774325601,0.3636923151076869,0.94675208143258,0
OR2A1-AS1,False,,0.013511965909444784,0.017062546663813353,0.9790507639464721,0
OR2B6,False,,0.001878544706176118,0.0023255492297595596,0.9845822447779277,0
OR2H1,False,,0.00024137862468450144,0.00019888597966585922,0.4371114124288537,0
OR51E1,False,,0.02031868648134436,0.024962540028526888,1.0719844153830396,0
OR51E2,False,,0.0005352104294607281,0.00041424435550750215,0.397973607238243,0
OR7D2,False,2081.0,0.0003917159904055992,0.0004206174334516924,0.6283799007597828,1
OR8S1,False,,0.0004318617057955143,0.00031188069570334763,0.40469586412589303,0
ORAI1,False,,0.10713543164706345,0.14125315658597035,1.030406113030385,0
ORAI2,False,,0.15055184664308913,0.19159526317228887,1.0205031331062566,0
ORAI3,False,,0.08994847921338092,0.10067877933605751,0.8615806981259275,0
ORAOV1,False,,0.037428427965273126,0.04693889683503273,0.976027635760891,0
ORC1,False,,0.0044322859768270075,0.004866355847054883,0.8657911676408632,0
ORC2,False,,0.051540856869146306,0.06918349524284051,1.0438423963493193,0
ORC3,False,,0.04758081939668494,0.057692319608321406,0.9511352797214468,0
ORC4,False,,0.08411180156345716,0.1018512763586754,0.9493666661508766,0
ORC5,False,,0.03628558901222702,0.043574603486600465,0.9393237587408851,0
ORC6,False,,0.023342074362357006,0.029889458705486725,0.9977768827122553,0
ORM1,True,45.5,0.3658219364618271,1.0903416631155631,2.3612664295862325,2
ORM2,True,302.5,0.1784845616386705,0.3731058808532975,1.660968631839423,2
ORMDL1,False,,0.30247927802696234,0.3432472617983639,0.9111520458476201,0
ORMDL2,False,,0.2429665933631824,0.27670527138858253,0.9047455123005865,0
ORMDL3,False,,0.08681324681217581,0.1112074026362674,0.9906523455658995,0
OS9,False,,0.31908771368366057,0.3427240813933519,0.8767745737113641,0
OSBP,False,,0.06623401472775436,0.07900411632454944,0.9233555945877523,0
OSBP2,False,,0.004539238744415928,0.006379132188198176,1.1111043385469346,0
OSBPL10,False,,0.04616667505407543,0.0590976404357925,0.9970232662301162,0
OSBPL10-AS1,False,,0.005405992366297051,0.006925218078980803,1.015339183936984,0
OSBPL11,False,,0.045289774187082465,0.053947805319432676,0.9344105626492697,0
OSBPL1A,False,,0.08940403203004041,0.1006725234752526,0.8910794789166061,0
OSBPL2,False,,0.07125713822712644,0.09687695893761085,1.0391602915099196,0
OSBPL3,False,,0.06252795779636988,0.07453779658493456,0.9132694859380938,0
OSBPL5,False,,0.021995486286908807,0.02671029123581838,0.9828851479815317,0
OSBPL6,False,,0.005353551716230562,0.00571160744637219,0.885758169877307,0
OSBPL7,False,,0.0296399738805838,0.046089864088207116,1.1717337850150868,0
OSBPL8,False,,0.22251986858091363,0.2810058749332633,1.0111033832071303,0
OSBPL9,False,,0.11862346482740842,0.13648046445812045,0.918540208836346,0
OSCAR,False,,0.013733164665460736,0.015932028622108487,0.9063632101697547,0
OSCP1,False,,0.010047706617122423,0.010692850720175869,0.8263306624667233,0
OSER1,False,,0.14295158406538883,0.16852907358940578,0.9398974270442451,0
OSER1-AS1,False,,0.03440563612524478,0.044137926842737506,1.0144951692972417,0
OSGEP,False,,0.11610563145121164,0.14114792760377268,0.9617881129787962,0
OSGEPL1,False,,0.018666397176078847,0.022905434403137574,0.9594788031552947,0
OSGEPL1-AS1,True,1433.0,0.0024886211006116396,0.0034813999374902894,1.1162201721031182,1
OSGIN1,False,,0.05183048166838827,0.06472731120602129,0.9884922789895634,0
OSGIN2,False,,0.039769624106831054,0.04767563864158205,0.8927726207203768,0
OSM,True,1589.0,0.04363467679030236,0.07287852894271628,1.3016912346535043,2
OSMR,False,,0.08171519699859439,0.1012629731324507,0.9494890598486272,0
OSMR-AS1,False,,0.007268475828719244,0.00789445218208682,0.8464637229947797,0
OSR1,False,1900.0,0.00437930886232326,0.006224119434976016,1.0655427062413445,1
OSR2,False,,0.01070925096514688,0.011049089076888284,0.8076964789327252,0
OST4,False,,1.519299899950458,0.9349120254177895,0.9078089382611108,0
OSTC,False,,0.5862978063921821,0.5969687248304003,0.8697254838396582,0
OSTF1,False,,0.2898781789958839,0.3488043062175688,0.9756488876870899,0
OSTM1,False,,0.11224306826927541,0.13890239177607722,0.9778992219438019,0
OSTN-AS1,False,,0.005069908044222339,0.004264843754921459,0.7473773163943584,0
OTC,False,,0.005357443242047584,0.005173980574579016,0.7471789566037088,0
OTOA,False,,0.02534588178467156,0.03369235417183999,1.0842769221652022,0
OTOG,True,855.0,0.0006346442078535047,0.0009327224413685167,0.7148513623348619,1
OTOP3,False,,0.0001480222410209619,7.262675723326519e-05,0.49226267767037135,0
OTUB1,False,,0.22862897632558116,0.26122328458048644,0.9088698576842381,0
OTUB2,False,,0.004563468550764088,0.005752354058020648,0.9879297051672983,0
OTUD1,False,,0.06660861260260198,0.09368403209734683,1.0462117458812132,0
OTUD3,False,,0.017821040318249756,0.02412219107032825,1.0531753450646058,0
OTUD4,False,,0.06791303663971338,0.08590359982023814,0.9773310139905373,0
OTUD5,False,,0.0912895880135355,0.11699637769309386,0.9972291151433903,0
OTUD6A,True,1460.0,0.0023279332612611303,0.003081708389061726,1.2013837781117078,1
OTUD6B,False,,0.04542713613098531,0.06153444347635295,1.0256811863764512,0
OTUD6B-AS1,False,,0.22522561827183968,0.2636712931710256,0.9385264854393458,0
OTUD7A,True,697.0,0.004846948745513947,0.0068928602516002595,1.1991624897839996,1
OTUD7B,False,,0.05797465264456916,0.07492712704076511,1.0107334155723122,0
OTULIN,False,,0.0659915333055311,0.09008685382916201,1.0546650877443902,0
OTX1,False,,0.00315013815715781,0.004255462386169428,1.0097698666941128,0
OVCH1,False,,0.0006734880884313593,0.0006968670300592833,0.4946636193662871,0
OVCH1-AS1,True,903.0,0.0026335325860862282,0.003591986087731977,1.1789486489407965,1
OVCH2,True,1149.0,0.0006774808191388951,0.0009743861694178001,0.6866087569706526,1
OVGP1,False,,0.004144033851449704,0.004145608710654255,0.7598371982408365,0
OVOL1,False,,0.002631983662985317,0.0026630177325936795,0.8172067039098058,0
OVOL2,False,,0.008761520252621401,0.011707320104630057,0.9014640807695145,0
OVOL3,False,,0.0002726320697905107,0.0002885569536807988,0.5248970304720147,0
OVOS2,False,,0.008673966784797423,0.010059403188717465,0.9140309181572006,0
OXA1L,False,,0.24744119540812234,0.2779768549682334,0.8921547946431971,0
OXCT1,False,,0.04518703952753242,0.06057480624657956,1.0504181574036753,0
OXCT2,False,,0.004317943688904292,0.004857309737457581,0.9266974706115612,0
OXER1,False,,0.0036182206895974305,0.004478153978513047,0.8871928084213256,0
OXLD1,False,,0.1492005018753474,0.17697868305152745,0.9064188629143475,0
OXNAD1,False,2251.0,0.08090180193503123,0.12349294081872832,1.186708962979894,1
OXR1,False,,0.11455283129871478,0.13381284619588565,0.9186719705400949,0
OXSM,False,,0.026222436024836468,0.029487244189186877,0.8773044368965786,0
OXSR1,False,,0.07469303732460433,0.09184222753334875,0.9620586221638003,0
OXT,False,,0.006712713106146104,0.009165190439970132,1.022171829216953,0
OXTR,False,,0.0026828233529605783,0.002950327198973874,0.913805227073275,0
P2RX1,False,,0.023687304727141523,0.025526102276650753,0.8831369427692957,0
P2RX2,False,,0.0004962382093930479,0.000415489974859095,0.4429217239148055,0
P2RX3,True,1701.0,0.0008496893446899524,0.001213366551448018,0.6483742628965503,1
P2RX4,False,,0.09871371271642479,0.11926916065709425,0.9403391461986959,0
P2RX5,False,2208.0,0.029494423958557395,0.04659037391257834,1.201156778125079,1
P2RX5-TAX1BP3,False,2768.0,0.0038442235465772044,0.005285136398760625,1.1056507463478302,1
P2RX6,True,1482.5,0.00125734320251092,0.0020207499188989093,1.3728899560388033,2
P2RX7,False,,0.033761657424787796,0.044421565360861726,1.0324047408762491,0
P2RY1,False,,0.010968679750699956,0.0133037424603929,0.9978928563620658,0
P2RY10,False,2071.0,0.07389759957453201,0.11833979701431964,1.2515150238933654,2
P2RY11,False,,0.018540428122109445,0.024899771639510952,1.0465516845713465,0
P2RY13,False,,0.014976182902181471,0.020747915625646138,1.100828759343117,0
P2RY14,False,,0.018896552525100134,0.02612177822385907,1.1027672650489992,0
P2RY2,False,,0.006115006654049749,0.005767487712281344,0.729167400590617,0
P2RY6,False,,0.020623004917432346,0.024669336623538964,0.9382347924928653,0
P2RY8,False,,0.04115255704946096,0.05979000871759826,1.1405334030575531,0
P3H1,False,,0.0724288106133247,0.08991026958042896,1.0026572775893843,0
P3H2,False,,0.018827604594693702,0.023468436297395655,1.0385097127016871,0
P3H2-AS1,False,,0.004585685409416624,0.006040425073570717,0.5658258240554441,0
P3H3,False,,0.013222680928795538,0.016245858610308885,0.9856320253032821,0
P3H4,False,,0.05295159905468321,0.06010855362560912,0.8672167790718844,0
P4HA1,False,,0.15183658859944807,0.18947465266410024,0.9606236107305166,0
P4HA2,False,,0.07515427267045038,0.0914108427561693,0.9498007054170441,0
P4HA3,True,1561.0,0.01224582676502386,0.015703057265512094,1.1498038058394955,1
P4HB,True,1346.0,0.8797829754661519,0.9892349156868147,1.1186585722115527,1
P4HTM,False,,0.12071736478191139,0.15245299008987595,0.9596156679170305,0
PA2G4,False,,0.5486820123195274,0.5877655328822311,0.9184851648389418,0
PAAF1,False,,0.043911003118793396,0.051916936633032776,0.9278179755069267,0
PABPC1,True,1770.0,1.4142886682729814,1.1406129405717862,1.128157763193756,1
PABPC1L,False,,0.02240028765724561,0.030359405754952447,1.0347244305320327,0
