Rloop_sample_group,celltype,Signature,Score
R-loop-low-enriched,T cell,Cytotoxicity,1.1851644775711403
R-loop-low-enriched,T cell,Cytotoxicity,-0.1639829909921091
R-loop-low-enriched,T cell,Cytotoxicity,-0.1640142357867697
R-loop-low-enriched,T cell,Cytotoxicity,0.20295509845516754
R-loop-low-enriched,T cell,Cytotoxicity,0.06915835017401578
R-loop-low-enriched,T cell,Cytotoxicity,1.3901327441197744
R-loop-low-enriched,T cell,Cytotoxicity,2.623651717760548
R-loop-low-enriched,T cell,Cytotoxicity,-0.2229508875205764
R-loop-low-enriched,T cell,Cytotoxicity,0.17928610176090073
R-loop-low-enriched,T cell,Cytotoxicity,1.9778712879113471
R-loop-low-enriched,T cell,Cytotoxicity,1.5851748981831237
R-loop-low-enriched,T cell,Cytotoxicity,-0.16260388224419942
R-loop-low-enriched,T cell,Cytotoxicity,0.6728725713574026
R-loop-low-enriched,T cell,Cytotoxicity,0.5625625536080701
R-loop-low-enriched,T cell,Cytotoxicity,0.7379668912873903
R-loop-low-enriched,T cell,Cytotoxicity,-0.14589009875039194
R-loop-low-enriched,T cell,Cytotoxicity,-0.27006518003533914
R-loop-low-enriched,T cell,Cytotoxicity,-0.1827474102926095
R-loop-low-enriched,T cell,Cytotoxicity,0.7157541567551367
R-loop-low-enriched,T cell,Cytotoxicity,0.14857198163418467
R-loop-low-enriched,T cell,Cytotoxicity,1.3973397370223162
R-loop-low-enriched,T cell,Cytotoxicity,0.280231555454821
R-loop-low-enriched,T cell,Cytotoxicity,1.8532162541928499
R-loop-low-enriched,T cell,Cytotoxicity,0.4844649946410521
R-loop-low-enriched,T cell,Cytotoxicity,-0.16772279771275345
R-loop-low-enriched,T cell,Cytotoxicity,0.07637105840162631
R-loop-low-enriched,T cell,Cytotoxicity,0.9987152120569249
R-loop-low-enriched,T cell,Cytotoxicity,1.3919306216032608
R-loop-low-enriched,T cell,Cytotoxicity,-0.28635893856801314
R-loop-low-enriched,T cell,Cytotoxicity,0.7289440954238448
R-loop-low-enriched,T cell,Cytotoxicity,1.1050786429823043
R-loop-low-enriched,T cell,Cytotoxicity,1.0865982345457117
R-loop-low-enriched,T cell,Cytotoxicity,1.0453676441555324
R-loop-low-enriched,T cell,Cytotoxicity,1.8011927679857453
R-loop-low-enriched,T cell,Cytotoxicity,1.3174931689762237
R-loop-low-enriched,T cell,Cytotoxicity,-0.17901701911237328
R-loop-low-enriched,T cell,Cytotoxicity,0.1584051977887543
R-loop-low-enriched,T cell,Cytotoxicity,-0.23350267187010085
R-loop-low-enriched,T cell,Cytotoxicity,1.7739154635236642
R-loop-low-enriched,T cell,Cytotoxicity,0.8939671382001866
R-loop-low-enriched,T cell,Cytotoxicity,0.5781081487160804
R-loop-low-enriched,T cell,Cytotoxicity,0.7010601570431946
R-loop-low-enriched,T cell,Cytotoxicity,-0.22401938550049644
R-loop-low-enriched,T cell,Cytotoxicity,1.3674110958465708
R-loop-low-enriched,T cell,Cytotoxicity,0.9459978642215354
R-loop-low-enriched,T cell,Cytotoxicity,0.23483282928539698
R-loop-low-enriched,T cell,Cytotoxicity,0.5603849485737253
R-loop-low-enriched,T cell,Cytotoxicity,0.9024563956591027
R-loop-low-enriched,T cell,Cytotoxicity,1.1586310796286579
R-loop-low-enriched,T cell,Cytotoxicity,1.2803819649992978
R-loop-low-enriched,T cell,Cytotoxicity,0.609764031684974
R-loop-low-enriched,T cell,Cytotoxicity,0.11021300565097186
R-loop-low-enriched,T cell,Cytotoxicity,0.8635551162843664
R-loop-low-enriched,T cell,Cytotoxicity,0.9703540282561571
R-loop-low-enriched,T cell,Cytotoxicity,0.669856404551922
R-loop-low-enriched,T cell,Cytotoxicity,1.0985173039953502
R-loop-low-enriched,T cell,Cytotoxicity,0.8023140194651844
R-loop-low-enriched,T cell,Cytotoxicity,1.0599522770618743
R-loop-low-enriched,T cell,Cytotoxicity,0.1398517619578165
R-loop-low-enriched,T cell,Cytotoxicity,0.439140862274899
R-loop-low-enriched,T cell,Cytotoxicity,0.7316284207026468
R-loop-low-enriched,T cell,Cytotoxicity,0.6856864889557717
R-loop-low-enriched,T cell,Cytotoxicity,0.11000026701969559
R-loop-low-enriched,T cell,Cytotoxicity,0.650195090325324
R-loop-low-enriched,T cell,Cytotoxicity,0.5334956959224579
R-loop-low-enriched,T cell,Cytotoxicity,0.5190772285771268
R-loop-low-enriched,T cell,Cytotoxicity,-0.1888880012027396
R-loop-low-enriched,T cell,Cytotoxicity,-0.15449185833883125
R-loop-low-enriched,T cell,Cytotoxicity,0.7779004390423114
R-loop-low-enriched,T cell,Cytotoxicity,-0.22213301132355245
R-loop-low-enriched,T cell,Cytotoxicity,-0.16792234848175558
R-loop-low-enriched,T cell,Cytotoxicity,1.7723602294010576
R-loop-low-enriched,T cell,Cytotoxicity,1.0083191507579148
R-loop-low-enriched,T cell,Cytotoxicity,0.23308576138692783
R-loop-low-enriched,T cell,Cytotoxicity,-0.17648384323885608
R-loop-low-enriched,T cell,Cytotoxicity,0.5727871440553917
R-loop-low-enriched,T cell,Cytotoxicity,1.5377681930840899
R-loop-low-enriched,T cell,Cytotoxicity,0.5012346972589907
R-loop-low-enriched,T cell,Cytotoxicity,0.5022044464326395
R-loop-low-enriched,T cell,Cytotoxicity,0.8555680205249012
R-loop-low-enriched,T cell,Cytotoxicity,1.0632643405752094
R-loop-low-enriched,T cell,Cytotoxicity,0.19372034095658447
R-loop-low-enriched,T cell,Cytotoxicity,0.5753648181993655
R-loop-low-enriched,T cell,Cytotoxicity,0.21374915765907226
R-loop-low-enriched,T cell,Cytotoxicity,1.2037951136341631
R-loop-low-enriched,T cell,Cytotoxicity,-0.24816095868879337
R-loop-low-enriched,T cell,Cytotoxicity,0.5024557250342299
R-loop-low-enriched,T cell,Cytotoxicity,-0.18417253781321855
R-loop-low-enriched,T cell,Cytotoxicity,0.7908799401095081
R-loop-low-enriched,T cell,Cytotoxicity,1.5294067065680477
R-loop-low-enriched,T cell,Cytotoxicity,1.2973494486437422
R-loop-low-enriched,T cell,Cytotoxicity,1.6180747779886289
R-loop-low-enriched,T cell,Cytotoxicity,1.1716724173395017
R-loop-low-enriched,T cell,Cytotoxicity,0.28607692595480505
R-loop-low-enriched,T cell,Cytotoxicity,-0.26726685080639895
R-loop-low-enriched,T cell,Cytotoxicity,1.5063465913972158
R-loop-low-enriched,T cell,Cytotoxicity,-0.12378834242804793
R-loop-low-enriched,T cell,Cytotoxicity,1.6285903035768527
R-loop-low-enriched,T cell,Cytotoxicity,0.6353152612721698
R-loop-low-enriched,T cell,Cytotoxicity,2.128644042873975
R-loop-low-enriched,T cell,Cytotoxicity,0.9836480044543998
R-loop-low-enriched,T cell,Cytotoxicity,0.8530901668747247
R-loop-low-enriched,T cell,Cytotoxicity,-0.19963581506225178
R-loop-low-enriched,T cell,Cytotoxicity,-0.22561329104828595
R-loop-low-enriched,T cell,Cytotoxicity,0.44610207034136995
R-loop-low-enriched,T cell,Cytotoxicity,-0.14227023172538017
R-loop-low-enriched,T cell,Cytotoxicity,0.14255362438688537
R-loop-low-enriched,T cell,Cytotoxicity,0.21459719728067966
R-loop-low-enriched,T cell,Cytotoxicity,-0.15790374143466504
R-loop-low-enriched,T cell,Cytotoxicity,0.7098634811434175
R-loop-low-enriched,T cell,Cytotoxicity,0.009410761499655529
R-loop-low-enriched,T cell,Cytotoxicity,0.20645504822528254
R-loop-low-enriched,T cell,Cytotoxicity,0.7304286245973954
R-loop-low-enriched,T cell,Cytotoxicity,0.8780348595966863
R-loop-low-enriched,T cell,Cytotoxicity,-0.208229626301539
R-loop-low-enriched,T cell,Cytotoxicity,1.0014755259959025
R-loop-low-enriched,T cell,Cytotoxicity,-0.2133139160564512
R-loop-low-enriched,T cell,Cytotoxicity,-0.23641590131166387
R-loop-low-enriched,T cell,Cytotoxicity,0.5433128011095656
R-loop-low-enriched,T cell,Cytotoxicity,0.3279603317031095
R-loop-low-enriched,T cell,Cytotoxicity,0.05162646721494976
R-loop-low-enriched,T cell,Cytotoxicity,1.1440702876689273
R-loop-low-enriched,T cell,Cytotoxicity,0.24498119185657746
R-loop-low-enriched,T cell,Cytotoxicity,1.5991599342211318
R-loop-low-enriched,T cell,Cytotoxicity,0.2050827485889666
R-loop-low-enriched,T cell,Cytotoxicity,1.2271347638242733
R-loop-low-enriched,T cell,Cytotoxicity,-0.1687258334462858
R-loop-low-enriched,T cell,Cytotoxicity,-0.1646910702504442
R-loop-low-enriched,T cell,Cytotoxicity,0.5373103278023856
R-loop-low-enriched,T cell,Cytotoxicity,0.5220487565442927
R-loop-low-enriched,T cell,Cytotoxicity,0.5046876418892414
R-loop-low-enriched,T cell,Cytotoxicity,1.3026450626940118
R-loop-low-enriched,T cell,Cytotoxicity,-0.12408627156031171
R-loop-low-enriched,T cell,Cytotoxicity,1.042252754287975
R-loop-low-enriched,T cell,Cytotoxicity,-0.21615906782373537
R-loop-low-enriched,T cell,Cytotoxicity,-0.19712444292661738
R-loop-low-enriched,T cell,Cytotoxicity,-0.1862516626466477
R-loop-low-enriched,T cell,Cytotoxicity,1.8464261450040758
R-loop-low-enriched,T cell,Cytotoxicity,-0.2262662804645041
R-loop-low-enriched,T cell,Cytotoxicity,-0.24466021483558476
R-loop-low-enriched,T cell,Cytotoxicity,0.006735540609637686
R-loop-low-enriched,T cell,Cytotoxicity,-0.16365923929373954
R-loop-low-enriched,T cell,Cytotoxicity,0.5931413473265056
R-loop-low-enriched,T cell,Cytotoxicity,-0.11473957431754939
R-loop-low-enriched,T cell,Cytotoxicity,0.9490321531172751
R-loop-low-enriched,T cell,Cytotoxicity,0.8339140660103235
R-loop-low-enriched,T cell,Cytotoxicity,1.3885407327067836
R-loop-low-enriched,T cell,Cytotoxicity,0.7796786331526696
R-loop-low-enriched,T cell,Cytotoxicity,1.16714660527885
R-loop-low-enriched,T cell,Cytotoxicity,0.9242773374984894
R-loop-low-enriched,T cell,Cytotoxicity,0.8428355958321649
R-loop-low-enriched,T cell,Cytotoxicity,1.1618805943182424
R-loop-low-enriched,T cell,Cytotoxicity,0.0718204234697804
R-loop-low-enriched,T cell,Cytotoxicity,-0.23122895920157033
R-loop-low-enriched,T cell,Cytotoxicity,2.1310880490597843
R-loop-low-enriched,T cell,Cytotoxicity,0.2571925905066361
R-loop-low-enriched,T cell,Cytotoxicity,-0.1367350294438493
R-loop-low-enriched,T cell,Cytotoxicity,0.20962314883659058
R-loop-low-enriched,T cell,Cytotoxicity,-0.17805321479720815
R-loop-low-enriched,T cell,Cytotoxicity,-0.19819559460898306
R-loop-low-enriched,T cell,Cytotoxicity,-0.14447733391088785
R-loop-low-enriched,T cell,Cytotoxicity,-0.20065784773300324
R-loop-low-enriched,T cell,Cytotoxicity,1.698068456563207
R-loop-low-enriched,T cell,Cytotoxicity,-0.18420510945910196
R-loop-low-enriched,T cell,Cytotoxicity,1.4284966660639458
R-loop-low-enriched,T cell,Cytotoxicity,1.0374618330698975
R-loop-low-enriched,T cell,Cytotoxicity,0.5819051458228449
R-loop-low-enriched,T cell,Cytotoxicity,0.09717812574598927
R-loop-low-enriched,T cell,Cytotoxicity,1.082366158275358
R-loop-low-enriched,T cell,Cytotoxicity,0.4744005759139409
R-loop-low-enriched,T cell,Cytotoxicity,0.531064764370032
R-loop-low-enriched,T cell,Cytotoxicity,0.5592135032055996
R-loop-low-enriched,T cell,Cytotoxicity,0.44403097587399537
R-loop-low-enriched,T cell,Cytotoxicity,0.7045831074284072
R-loop-low-enriched,T cell,Cytotoxicity,-0.23655241388939696
R-loop-low-enriched,T cell,Cytotoxicity,-0.1756500703435279
R-loop-low-enriched,T cell,Cytotoxicity,0.8629666967250716
R-loop-low-enriched,T cell,Cytotoxicity,0.13389230640209068
R-loop-low-enriched,T cell,Cytotoxicity,1.622589001972255
R-loop-low-enriched,T cell,Cytotoxicity,0.7937205426725998
R-loop-low-enriched,T cell,Cytotoxicity,-0.17189411176088262
R-loop-low-enriched,T cell,Cytotoxicity,0.13467118868802763
R-loop-low-enriched,T cell,Cytotoxicity,0.9581053652264431
R-loop-low-enriched,T cell,Cytotoxicity,1.5078849569212234
R-loop-low-enriched,T cell,Cytotoxicity,-0.18943804482552518
R-loop-low-enriched,T cell,Cytotoxicity,1.0714070296891272
R-loop-low-enriched,T cell,Cytotoxicity,1.1042445256159856
R-loop-low-enriched,T cell,Cytotoxicity,-0.1797557435306817
R-loop-low-enriched,T cell,Cytotoxicity,0.47047149331958116
R-loop-low-enriched,T cell,Cytotoxicity,0.13150678122949216
R-loop-low-enriched,T cell,Cytotoxicity,0.12566392728146675
R-loop-low-enriched,T cell,Cytotoxicity,1.2427017915436827
R-loop-low-enriched,T cell,Cytotoxicity,0.6753132793246077
R-loop-low-enriched,T cell,Cytotoxicity,-0.19247018054974915
R-loop-low-enriched,T cell,Cytotoxicity,-0.12684158018998876
R-loop-low-enriched,T cell,Cytotoxicity,-0.20614289758994828
R-loop-low-enriched,T cell,Cytotoxicity,0.8631633689286204
R-loop-low-enriched,T cell,Cytotoxicity,-0.15943952069234688
R-loop-low-enriched,T cell,Cytotoxicity,0.1605776731214965
R-loop-low-enriched,T cell,Cytotoxicity,1.730636373411453
R-loop-low-enriched,T cell,Cytotoxicity,2.0419270824827875
R-loop-low-enriched,T cell,Cytotoxicity,-0.15039802474720423
R-loop-low-enriched,T cell,Cytotoxicity,1.1697965244670492
R-loop-low-enriched,T cell,Cytotoxicity,0.8351942951805671
