sample_id,B cell,CAF,HPC-like,Malignant cell,T cell,TAM,TEC,unclassified
S026,0.7299270072992701,10.218978102189782,0.0,1.4598540145985401,75.18248175182481,5.839416058394161,6.569343065693431,0.0
S040,0.3314917127071823,16.243093922651934,5.966850828729282,0.8839779005524863,58.78453038674033,1.1049723756906076,16.685082872928177,0.0
S037,0.8547008547008548,5.128205128205128,50.427350427350426,0.8547008547008548,3.418803418803419,37.60683760683761,1.7094017094017095,0.0
S017,0.847457627118644,1.694915254237288,0.0,0.847457627118644,89.83050847457628,3.389830508474576,3.389830508474576,0.0
S009,4.878582367096915,3.1721723911616713,1.1376066506234959,0.8094508860205645,77.55414570115948,8.444541675782105,4.003500328155765,0.0
S030,10.458567980691875,14.561544650040226,0.2413515687851971,0.8045052292839904,44.56958970233307,8.769106999195495,20.595333869670153,0.0
S012,3.4296913277805,1.1758941695247427,0.0,0.6369426751592357,78.1969622733954,10.583047525722684,5.977462028417443,0.0
S008,0.6329113924050633,9.49367088607595,39.87341772151899,0.31645569620253167,35.44303797468354,8.860759493670885,5.379746835443038,0.0
S029,3.581267217630854,0.6887052341597797,1.790633608815427,0.27548209366391185,81.95592286501378,3.3057851239669422,8.402203856749312,0.0
S025,43.25396825396825,2.976190476190476,7.341269841269842,0.1984126984126984,26.190476190476193,17.063492063492063,2.976190476190476,0.0
S028,0.34662045060658575,2.772963604852686,85.96187175043327,0.17331022530329288,2.079722703639515,7.452339688041594,1.2131715771230502,0.0
S02_P01_LCP21,0.8583690987124464,40.486409155937054,0.0,0.0,24.463519313304722,1.2875536480686696,31.187410586552218,1.7167381974248928
S07_P02_LCP28,0.0,4.310344827586207,0.0,0.0,86.20689655172413,0.0,2.586206896551724,6.896551724137931
S16_P10_LCP18,15.702479338842975,0.0,0.8264462809917356,0.0,72.72727272727273,4.958677685950414,0.0,5.785123966942149
S020,0.7075471698113208,0.0,68.16037735849056,0.0,0.4716981132075472,30.660377358490564,0.0,0.0
S20_P12_LCP35,2.307692307692308,28.46153846153846,0.7692307692307693,0.0,53.84615384615385,9.230769230769232,2.307692307692308,3.076923076923077
S018,0.7299270072992701,0.7299270072992701,67.15328467153284,0.0,28.467153284671532,2.18978102189781,0.7299270072992701,0.0
S019,0.0,0.9689922480620154,0.5813953488372093,0.0,85.65891472868216,3.2945736434108532,9.496124031007753,0.0
S014,0.0,0.0,0.0,0.0,94.11764705882352,0.0,5.88235294117647,0.0
S015,14.714086471408647,0.1394700139470014,3.2775453277545328,0.0,75.59274755927476,6.066945606694561,0.20920502092050208,0.0
S016,0.0,0.0,11.76470588235294,0.0,76.47058823529412,0.0,11.76470588235294,0.0
S024,3.3783783783783785,2.027027027027027,12.837837837837837,0.0,72.2972972972973,2.7027027027027026,6.756756756756757,0.0
S034,2.030456852791878,13.778100072516317,64.68455402465555,0.0,6.744017403915881,2.4655547498187094,10.297316896301668,0.0
S035,1.4306151645207439,40.772532188841204,0.0,0.0,24.463519313304722,1.859799713876967,31.47353361945637,0.0
S033,5.396290050590219,0.16863406408094433,84.82293423271501,0.0,0.6745362563237773,8.094435075885329,0.8431703204047217,0.0
S027,0.0,0.0,58.333333333333336,0.0,33.33333333333333,8.333333333333332,0.0,0.0
S045,2.479338842975207,28.92561983471074,4.132231404958678,0.0,55.371900826446286,7.43801652892562,1.6528925619834711,0.0
S044,9.774436090225564,3.258145363408521,5.764411027568922,0.0,67.91979949874687,12.531328320802004,0.7518796992481203,0.0
S043,26.41509433962264,0.0,0.0,0.0,73.58490566037736,0.0,0.0,0.0
S038,1.5151515151515151,18.181818181818183,66.66666666666666,0.0,8.333333333333332,2.272727272727273,3.0303030303030303,0.0
