pseudo_group,RLP1,RLP2,RLP3,RLP4
S040__unclassified,0.32792133,0.18813609,0.2718981,0.32748878
S040__TECs,0.573158,0.04660531,0.3140547,0.19156805
S040__CAFs,0.41028148,0.1707766,0.20589845,0.3005743
S040__T cells,0.06996587,0.5201539,0.3135115,0.0
S040__Malignant cells,0.17695244,0.06852785,0.22628814,0.63165903
S041__B cells,0.0,0.08049995,0.2957854,0.15810637
S041__unclassified,0.07894845,0.40846702,0.8666484,0.24713372
S041__TAMs,0.09013905,0.41136932,0.6430595,0.22306968
S041__T cells,0.0,0.5301644,1.1074584,0.118700214
S042__Malignant cells,0.22949965,0.03722926,0.18665925,0.69247615
S042__CAFs,0.36042297,0.16797782,0.3156354,0.49217615
S042__TECs,0.58940464,0.11813211,0.6305086,0.23557718
S042__unclassified,0.57391727,0.13307522,0.64453113,0.35577723
S042__TAMs,0.19608687,0.4781079,0.21611896,0.1660967
S043__B cells,0.0,0.1866762,0.5395911,0.24832882
S043__unclassified,0.0,0.31224024,1.3077699,0.0
S043__T cells,0.01785578,0.25206438,1.1584164,0.0
S044__TAMs,0.2031551,0.31963313,0.31841162,0.2905737
S044__T cells,0.06134401,0.5497251,0.35349944,0.0373823
S044__B cells,0.041911937,0.49117002,0.3058408,0.117882505
S044__unclassified,0.14101379,0.43488157,0.24380387,0.22406909
S045__T cells,0.00054005027,0.53191227,0.3380889,0.0625246
S045__CAFs,0.41263542,0.112236254,0.12556255,0.33922416
S046__Malignant cells,0.13243452,0.034351494,0.12061056,1.0425898
S046__T cells,0.0,0.59760475,0.36113966,0.4114738
S02_P01_LCP21__CAF,0.36896518,0.18375342,0.36307642,0.42385972
S02_P01_LCP21__TEC,0.5201296,0.11637394,0.5421554,0.37816682
S02_P01_LCP21__T cell,0.014979659,0.60309535,0.3025687,0.10700382
S07_P02_LCP28__T cell,0.0,0.4169996,0.97506917,0.0
S08_P03_LCP26__Malignant cell,0.14961967,0.0,1.0587524,0.88924485
S08_P03_LCP26__TAM,0.07992852,0.34882298,0.94905376,0.27480868
S09_P04_LCP25__Malignant cell,0.37030342,0.0,1.0217223,0.47807348
S09_P04_LCP25__CAF,0.42993245,0.011278028,0.9427421,0.45787778
S10_P05_LCP23__Malignant cell,0.103024274,0.05344629,0.0,0.32326525
S10_P05_LCP23__unclassified,0.18173723,0.105712034,0.682895,0.0
S10_P05_LCP23__TEC,0.46486148,0.0661294,0.37891322,0.057375144
S11_P06_LCP29__T cell,0.087628365,0.5156015,0.33223423,0.0
S11_P06_LCP29__TEC,0.5833431,0.039706577,0.32725182,0.19336575
S11_P06_LCP29__CAF,0.44045687,0.1490331,0.23207107,0.31612298
S11_P06_LCP29__HPC-like,0.33554032,0.05341065,0.25572017,0.4944848
S11_P06_LCP29__Malignant cell,0.2015935,0.065569215,0.2388771,0.62168396
S12_P07_LCP30__B cell,0.0,0.0692597,0.2753239,0.14431025
S12_P07_LCP30__T cell,0.0,0.53724605,1.1257681,0.15446253
S12_P07_LCP30__TAM,0.10170683,0.43595397,0.6849296,0.1648557
S12_P07_LCP30__Malignant cell,0.21714605,0.067174144,0.47829276,0.5914732
S15_P09_LCP38__Malignant cell,0.25217372,0.025774917,0.20701616,0.69859207
S15_P09_LCP38__CAF,0.3926271,0.1556318,0.3521791,0.5117908
S15_P09_LCP38__TEC,0.6400712,0.09157921,0.7046317,0.25554505
S15_P09_LCP38__T cell,0.0,0.68443936,0.43379667,0.25230047
